"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Cabrera, Miguel","408234","2020","37","204","231","51","37","4","0","10","51","24",22.1,10.4,".250",".417",".329","0.746",".323",".379",36.8,9.7,49.7,"102.655113117","96.026886144",31.6,47.7
"Cruz Jr., Nelson","443558","2020","39","185","214","56","34","6","0","16","58","25",27.1,11.7,".303",".595",".397","0.992",".411",".383",39.4,15,47.2,"102.723679524","95.93307824",34.2,47.6
"Peralta, David","444482","2020","32","203","218","61","45","10","1","5","45","13",20.6,6,".300",".433",".339","0.772",".333",".299",29.4,5,36.3,"100.556636709","94.354591139",21.1,46.6
"Longoria, Evan","446334","2020","34","193","209","49","31","10","1","7","39","11",18.7,5.3,".254",".425",".297","0.722",".308",".364",29.9,11.5,45.2,"101.530260256","95.520896474",21,45
"Cabrera, Asdrúbal","452678","2020","34","190","213","46","26","9","3","8","40","19",18.8,8.9,".242",".447",".305","0.752",".319",".317",30.5,6.5,38.3,"97.982868684","93.323023224",20.5,46.1
"Blackmon, Charlie","453568","2020","33","221","247","67","48","12","1","6","44","19",17.8,7.7,".303",".448",".356","0.804",".340",".331",38.5,4.9,29.7,"97.303074157","92.71975736",23.3,50.2
"Solano, Donovan","456781","2020","32","190","203","62","43","15","1","3","39","10",19.2,4.9,".326",".463",".365","0.828",".357",".320",43.4,4.6,34.9,"98.263815526","93.264044768",22,51.9
"McCutchen, Andrew","457705","2020","33","217","241","55","36","9","0","10","48","22",19.9,9.1,".253",".433",".324","0.757",".327",".358",36.5,8.2,41.2,"99.22758119","93.968213095",22,40.6
"Votto, Joey","458015","2020","36","186","223","42","23","8","0","11","43","37",19.3,16.6,".226",".446",".354","0.800",".347",".369",36.4,9.1,35.7,"98.39738875","93.296095944",22.5,36.2
"Santana, Carlos","467793","2020","34","206","255","41","26","7","0","8","43","47",16.9,18.4,".199",".350",".349","0.699",".316",".372",32.3,6.7,36.6,"99.260366296","93.650599074",20.6,36.3
"Brantley Jr., Michael","488726","2020","33","170","187","51","31","15","0","5","28","17",15,9.1,".300",".476",".364","0.840",".362",".325",34.5,4.9,37.3,"98.251374648","93.415636667",16.3,39.9
"Gurriel, Yuli","493329","2020","36","211","230","49","30","12","1","6","27","12",11.7,5.2,".232",".384",".274","0.658",".281",".318",34.4,3.7,36.5,"98.527696064","93.454652781",15.6,48.8
"Escobar, Eduardo","500871","2020","31","203","222","43","29","7","3","4","41","15",18.5,6.8,".212",".335",".270","0.605",".257",".306",34.8,5.5,31.7,"97.095200488","92.633428037",21.6,51.4
"Martinez, J.D.","502110","2020","32","211","237","45","22","16","0","7","59","22",24.9,9.3,".213",".389",".291","0.680",".290",".318",39.6,11,41.6,"99.85455974","94.246308758",28.1,51.9
"Reddick, Josh","502210","2020","33","188","210","46","30","11","1","4","42","20",20,9.5,".245",".378",".316","0.694",".304",".303",34.7,4.8,29.3,"96.145119315","92.092886986",22.6,46.5
"Goldschmidt, Paul","502671","2020","32","191","231","58","39","13","0","6","43","37",18.6,16,".304",".466",".417","0.883",".387",".396",42.3,10.7,40.9,"99.2678272","93.874685503",23.7,40.6
"Gonzalez, Marwin","503556","2020","31","175","199","37","28","4","0","5","41","17",20.6,8.5,".211",".320",".286","0.606",".269",".314",31.9,5.1,38.4,"98.202361739","93.451501168",23.5,43
"Altuve, Jose","514888","2020","30","192","210","42","28","9","0","5","39","17",18.6,8.1,".219",".344",".286","0.630",".278",".288",24.8,4.6,33.3,"97.480630811","92.777053741",20.2,50
"Hernández, César","514917","2020","30","233","261","66","43","20","0","3","57","24",21.8,9.2,".283",".408",".355","0.763",".335",".330",37.3,4,37.3,"98.999012093","93.787809064",19.6,43.6
"Segura, Jean","516416","2020","30","192","217","51","37","5","2","7","45","23",20.7,10.6,".266",".422",".347","0.769",".333",".318",31.8,6.1,38.5,"99.748813288","93.958321438",22.1,46.8
"Marte, Starling","516782","2020","31","228","250","64","43","14","1","6","41","12",16.4,4.8,".281",".430",".340","0.770",".333",".326",30.3,6.4,30.3,"97.604057802","92.829315028",25.2,52.7
"Freeman, Freddie","518692","2020","30","214","262","73","36","23","1","13","37","45",14.1,17.2,".341",".640",".462","1.102",".456",".466",49.2,14.7,54.2,"101.812650227","95.798406705",20.1,48.2
"Grandal, Yasmani","518735","2020","31","161","194","37","22","7","0","8","58","30",29.9,15.5,".230",".422",".351","0.773",".338",".327",38.1,7.6,43.8,"99.928859811","94.403731524",30.7,34.1
"LeMahieu, DJ","518934","2020","31","195","216","71","49","10","2","10","21","18",9.7,8.3,".364",".590",".421","1.011",".429",".366",29.7,2.9,45.7,"100.540551744","94.953852733",11.2,44.1
"Rizzo, Anthony","519203","2020","30","203","243","45","28","6","0","11","38","28",15.6,11.5,".222",".414",".342","0.756",".326",".355",34.7,7.8,34.7,"99.57215061","93.849255427",19.3,42.5
"Flores, Wilmer","527038","2020","28","198","213","53","29","11","1","12","36","13",16.9,6.1,".268",".515",".315","0.830",".347",".309",37.4,6.1,34.4,"97.808676707","93.175661718",17.8,48
"García, Avisaíl","541645","2020","29","181","207","43","31","10","0","2","49","20",23.7,9.7,".238",".326",".333","0.659",".296",".317",37.1,3.8,37.1,"99.290871364","93.692910455",34.7,54.6
"Ozuna, Marcell","542303","2020","29","228","267","77","45","14","0","18","60","38",22.5,14.2,".338",".636",".431","1.067",".444",".436",39.1,15.4,54.4,"103.534352941","96.562612663",31.4,46.3
"Villar, Jonathan","542340","2020","29","185","207","43","36","5","0","2","54","19",26.1,9.2,".232",".292",".301","0.593",".266",".261",18.7,1.5,35.8,"99.470722344","93.853135313",32,51.6
"Aguilar, Jesús","542583","2020","30","188","216","52","34","10","0","8","40","23",18.5,10.6,".277",".457",".352","0.809",".347",".345",37.5,7.2,37.5,"99.078188947","93.762450461",22.3,47.3
"Crawford, Brandon","543063","2020","33","172","193","44","24","12","0","8","47","15",24.4,7.8,".256",".465",".326","0.791",".334",".309",35.4,9.4,39.4,"98.74086254","93.673056111",31.5,54.6
"Grossman, Robbie","543257","2020","30","166","192","40","18","12","2","8","38","21",19.8,10.9,".241",".482",".344","0.826",".351",".328",33.6,5.5,37.5,"98.280297813","93.396949921",18.4,43.4
"Hicks, Aaron","543305","2020","30","169","211","38","20","10","2","6","38","41",18,19.4,".225",".414",".379","0.793",".351",".374",29.8,6.9,38.2,"99.738009846","93.99654093",27.9,39.4
"Rendon, Anthony","543685","2020","30","189","232","54","33","11","1","9","31","38",13.4,16.4,".286",".497",".418","0.915",".395",".390",39.2,6.3,40.5,"98.602933924","93.634717389",14.7,40.5
"Semien, Marcus","543760","2020","29","211","236","47","30","9","1","7","50","25",21.2,10.6,".223",".374",".305","0.679",".299",".287",32.9,5,28.6,"96.361638375","92.211459874",23.3,44.1
"Springer III, George","543807","2020","30","189","222","50","28","6","2","14","38","24",17.1,10.8,".265",".540",".359","0.899",".379",".405",35.3,12.4,42.5,"101.012866184","94.708160132",25.3,47.7
"Vázquez, Christian","543877","2020","29","173","189","49","33","9","0","7","43","16",22.8,8.5,".283",".457",".344","0.801",".346",".285",33.1,4.6,40,"98.429126154","93.35878876",22.9,47.6
"Wong, Kolten","543939","2020","29","181","208","48","41","4","2","1","30","20",14.4,9.6,".265",".326",".350","0.676",".305",".286",31.2,0.6,26.6,"95.584306892","91.793051554",15.8,43.9
"Gregorius, Didi","544369","2020","30","215","237","61","39","10","2","10","28","15",11.8,6.3,".284",".488",".339","0.827",".348",".311",35.3,4.2,27.9,"96.139141064","92.158376631",18.8,53.5
"Grichuk, Randal","545341","2020","28","216","231","59","38","9","0","12","49","13",21.2,5.6,".273",".481",".312","0.793",".334",".333",27.2,11.2,39.6,"100.547348929","94.472173234",23.1,51.7
"Trout, Mike","545361","2020","28","199","241","56","28","9","2","17","56","35",23.2,14.5,".281",".603",".390","0.993",".407",".428",36.1,15,55.1,"103.522413333","96.756365347",19.5,36.7
"Ruiz, Rio","547004","2020","26","185","204","41","21","11","0","9","46","17",22.5,8.3,".222",".427",".286","0.713",".303",".277",27.7,8.5,39,"99.181741429","93.707106906",27.3,52
"Harper, Bryce","547180","2020","27","190","244","51","27","9","2","13","43","49",17.6,20.1,".268",".542",".420","0.962",".400",".454",33.3,17.3,50.7,"104.136840278","96.785819375",28.6,45.9
"Abreu, José","547989","2020","33","240","262","76","42","15","0","19","59","18",22.5,6.9,".317",".617",".370","0.987",".411",".399",37.4,14.3,53.3,"104.315308571","96.898123022",30.1,48.5
"Suárez, Eugenio","553993","2020","28","198","231","40","17","8","0","15","67","30",29,13,".202",".470",".312","0.782",".332",".342",29.5,14.4,44.7,"101.191154545","94.886730076",31.7,41.7
"González, Erik","570481","2020","28","181","193","41","24","13","1","3","51","8",26.4,4.1,".227",".359",".255","0.614",".262",".293",33.6,6.7,44,"100.617211515","94.399348561",32,53.4
"Arenado, Nolan","571448","2020","29","182","201","46","29","9","0","8","20","15",10,7.5,".253",".434",".303","0.737",".308",".288",27.1,5.4,33.7,"98.207786506","93.152140723",17.9,48.1
"Muncy, Max","571970","2020","29","203","248","39","23","4","0","12","60","39",24.2,15.7,".192",".389",".331","0.720",".316",".360",29,12.4,40,"99.706862329","94.042931517",26.8,36.6
"Myers, Wil","571976","2020","29","198","218","57","26","14","2","15","56","18",25.7,8.3,".288",".606",".353","0.959",".400",".396",40.8,14.8,45.8,"101.631815571","95.352673957",25.9,42.6
"Pollock, AJ","572041","2020","32","196","210","54","29","9","0","16","45","12",21.4,5.7,".276",".566",".314","0.880",".364",".345",37.9,10.5,43.1,"100.207984474","94.434710861",24.4,47.7
"Seager, Kyle","572122","2020","32","203","248","49","28","12","0","9","33","32",13.3,12.9,".241",".433",".355","0.788",".338",".365",30.7,10.2,39.8,"98.417159318","93.543557614",20.4,40.3
"Voit III, Luke","572228","2020","29","213","234","59","32","5","0","22","54","17",23.1,7.3,".277",".610",".338","0.948",".393",".389",37.5,13.1,40,"100.684343544","94.623051203",27.6,52.1
"Walker, Christian","572233","2020","29","218","243","59","33","18","1","7","50","19",20.6,7.8,".271",".459",".333","0.792",".339",".339",34.5,6.4,48.5,"101.908890353","95.476667059",27.1,51.8
"Dickerson, Corey","572816","2020","31","194","210","50","37","5","1","7","35","15",16.7,7.1,".258",".402",".311","0.713",".308",".305",25.8,5.7,30.8,"97.061493671","92.538034367",25.7,53.4
"Yastrzemski, Mike","573262","2020","29","192","225","57","29","14","4","10","55","30",24.4,13.3,".297",".568",".400","0.968",".407",".364",35,10.9,42.3,"99.26844913","93.715521022",24.7,39.1
"Contreras, Willson","575929","2020","28","189","225","46","29","10","0","7","57","20",25.3,8.9,".243",".407",".356","0.763",".336",".353",35.8,10.4,47.8,"102.281617612","95.465128571",33.6,47.9
"Canha, Mark","592192","2020","31","191","243","47","28","12","2","5","54","37",22.2,15.2,".246",".408",".387","0.795",".351",".359",37.3,7.7,39.4,"98.907806143","93.708491143",24,38
"Castellanos, Nick","592206","2020","28","218","242","49","22","11","2","14","69","19",28.5,7.9,".225",".486",".298","0.784",".329",".375",39.3,16,46.7,"100.5504196","94.703394832",34.2,51.8
"Machado, Manny","592518","2020","27","224","254","68","39","12","1","16","37","26",14.6,10.2,".304",".580",".370","0.950",".391",".388",34.6,11,43.5,"102.695949158","95.565070368",21.7,46.7
"Moran, Colin","592567","2020","27","178","200","44","24","10","0","10","52","19",26,9.5,".247",".472",".325","0.797",".340",".350",32.3,13.4,47.2,"102.613770159","95.95598352",28,49.9
"Realmuto, J.T.","592663","2020","29","173","195","46","29","6","0","11","48","16",24.6,8.2,".266",".491",".349","0.840",".361",".356",32.8,13.6,42.4,"101.277934921","95.12123304",29.8,45.3
"Rosario, Eddie","592696","2020","28","210","231","54","34","7","0","13","34","19",14.7,8.2,".257",".476",".316","0.792",".333",".318",30.3,6.2,35.4,"97.149699091","92.643316171",22.6,51.9
"Yelich, Christian","592885","2020","28","200","247","41","21","7","1","12","76","46",30.8,18.6,".205",".430",".356","0.786",".343",".378",32.3,12.1,55.6,"103.843596557","97.02065123",33.6,34.6
"Merrifield, Whit","593160","2020","31","248","265","70","49","12","0","9","33","12",12.5,4.5,".282",".440",".325","0.765",".329",".336",39.8,5.1,27.3,"95.855324206","91.961579112",16.1,49.3
"Bogaerts, Xander","593428","2020","27","203","225","61","42","8","0","11","41","21",18.2,9.3,".300",".502",".364","0.866",".368",".340",31.3,8.6,36.8,"99.721139136","94.010233642",23,43.6
"Alberto, Hanser","593643","2020","27","219","231","62","44","15","0","3","30","5",13,2.2,".283",".393",".306","0.699",".301",".261",32.6,1,20.7,"93.472612717","90.856123497",16.7,62.9
"Polanco, Jorge","593871","2020","26","209","226","54","42","8","0","4","35","13",15.5,5.8,".258",".354",".304","0.658",".289",".304",39,2.8,33.3,"96.651106591","92.358275714",16.8,43.7
"Sanó, Miguel","593934","2020","27","186","205","38","13","12","0","13","90","18",43.9,8.8,".204",".478",".278","0.756",".317",".326",31.3,22.9,57.3,"107.128241875","98.788112737",42.6,47.3
"Calhoun, Kole","594777","2020","32","190","228","43","18","9","0","16","50","28",21.9,12.3,".226",".526",".338","0.864",".362",".379",36.1,11.8,38.2,"99.503862113","93.982617872",32.7,46.8
"Duvall, Adam","594807","2020","31","190","209","45","21","8","0","16","54","15",25.8,7.2,".237",".532",".301","0.833",".348",".342",30.7,13.9,40.1,"100.670608824","94.472182941",27.1,49
"Profar, Jurickson","595777","2020","27","180","202","50","37","6","0","7","28","15",13.9,7.4,".278",".428",".343","0.771",".335",".338",35.5,3.2,27.7,"96.940536711","92.4870825",20.1,47.1
"Báez, Javier","595879","2020","27","222","235","45","27","9","1","8","75","7",31.9,3,".203",".360",".238","0.598",".256",".275",24.8,8.1,40.3,"101.31207375","94.809897708",37.8,53.2
"Lindor, Francisco","596019","2020","26","236","266","61","40","13","0","8","41","24",15.4,9,".258",".415",".335","0.750",".324",".346",36.5,5.6,41.1,"99.684694433","94.059685052",20.3,48.9
"Story, Trevor","596115","2020","27","235","259","68","40","13","4","11","63","24",24.3,9.3,".289",".519",".355","0.874",".370",".335",40.1,8.7,41.3,"100.396057209","94.467090526",25.7,45.8
"Kepler, Max","596146","2020","27","171","196","39","21","9","0","9","36","22",18.4,11.2,".228",".439",".321","0.760",".328",".340",30.9,5.1,38.2,"99.204226765","93.676104222",21.2,44.8
"Franco, Maikel","596748","2020","27","223","243","62","38","16","0","8","38","16",15.6,6.6,".278",".457",".321","0.778",".329",".307",33.3,5.8,38.6,"100.224684468","94.175420214",24.6,49.9
